Year,Location of death (state),count
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2017,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2018,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2019,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2020,Georgia,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2000,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2001,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
